time,queue_density,dynamic_density
12.1333,0.256969,0.0551248
12.2,0.244894,0.0040642
12.2667,0.244908,0.0031162
12.3333,0.255167,0.0449268
12.4,0.24985,0.0247747
12.4667,0.242688,0.000319129
12.5333,0.24258,0.000793129
12.6,0.244406,0.00740567
12.6667,0.242463,0.000380139
12.7333,0.243251,0.00591327
12.8,0.241782,0.000389525
12.8667,0.241984,0.000178337
12.9333,0.241308,0.00110287
13,0.2406,0
13.0667,0.242266,0
13.1333,0.243397,3.28515e-05
13.2,0.243387,0
13.2667,0.24389,0
13.3333,0.244256,0
13.4,0.245002,1.40792e-05
13.4667,0.246339,2.34654e-05
13.5333,0.246433,4.69307e-05
13.6,0.246903,5.16238e-05
13.6667,0.247447,0.000159564
13.7333,0.248489,0.000722733
13.8,0.248104,0
13.8667,0.247508,0
13.9333,0.247574,0
14,0.247517,0
14.0667,0.247405,0
14.1333,0.247372,6.5703e-05
14.2,0.247546,0.00012202
14.2667,0.247902,0
14.3333,0.247006,0
14.4,0.246964,0
14.4667,0.246776,4.69307e-06
14.5333,0.246785,9.85545e-05
14.6,0.246541,0
14.6667,0.241984,0
14.7333,0.242463,0
14.8,0.243495,2.34654e-05
14.8667,0.242486,0
14.9333,0.243678,0
15,0.243702,9.38615e-06
15.0667,0.243528,0
15.1333,0.243664,0
15.2,0.243444,0
15.2667,0.243927,0
15.3333,0.243153,0
15.4,0.242299,0
15.4667,0.244044,3.28515e-05
15.5333,0.245626,0
15.6,0.246175,3.28515e-05
15.6667,0.247048,0
15.7333,0.246485,0
15.8,0.246537,0.000211188
15.8667,0.245687,0
15.9333,0.24388,0
16,0.243139,0.000215881
16.0667,0.242745,0.00125774
16.1333,0.242496,0.00112164
16.2,0.242209,6.5703e-05
16.2667,0.242829,5.16238e-05
16.3333,0.237507,0.000830674
16.4,0.238521,0.000314436
16.4667,0.240464,0.000380139
16.5333,0.240773,4.69307e-06
16.6,0.241853,0.000459921
16.6667,0.242655,0.00208372
16.7333,0.244157,0.0047447
16.8,0.244209,0.00647644
16.8667,0.24442,0.00622301
16.9333,0.243852,0.0049465
17,0.242712,0.00343533
17.0667,0.241961,0.00341186
17.1333,0.241365,0.00287685
17.2,0.241379,0.00265159
17.2667,0.241445,0.00238877
17.3333,0.240961,0.00180683
17.4,0.240726,0.000703961
17.4667,0.240093,0
17.5333,0.240389,1.87723e-05
17.6,0.240867,0
17.6667,0.240581,3.75446e-05
17.7333,0.238619,8.44753e-05
17.8,0.238924,0
17.8667,0.240088,0
17.9333,0.240398,0.000154871
18,0.240464,0
18.0667,0.23884,0.000628872
18.1333,0.239136,0
18.2,0.238394,0
18.2667,0.238882,0
18.3333,0.239079,1.87723e-05
18.4,0.240637,0.000783743
18.4667,0.240717,0.00122959
18.5333,0.239694,0.000492773
18.6,0.239436,0
18.6667,0.23799,0
18.7333,0.238042,0
18.8,0.238816,0.000262812
18.8667,0.238662,0.000708654
18.9333,0.238816,0
19,0.23938,3.75446e-05
19.0667,0.239835,0.000976159
19.1333,0.23952,0
19.2,0.239328,0
19.2667,0.24052,0.00133283
19.3333,0.240276,0.00090107
19.4,0.239586,0.000483387
19.4667,0.239769,9.85545e-05
19.5333,0.23953,1.40792e-05
19.6,0.239126,1.40792e-05
19.6667,0.238633,0
19.7333,0.238671,1.40792e-05
19.8,0.239042,0
19.8667,0.239558,0
19.9333,0.240084,0
20,0.240586,1.87723e-05
20.0667,0.241205,2.34654e-05
20.1333,0.241468,0.000136099
20.2,0.241154,9.38615e-06
20.2667,0.242087,9.38615e-06
