time,queue_density,dynamic_density
15.6,0.246175,0
15.6667,0.247048,0
15.7333,0.246485,0
15.8,0.246537,0
15.8667,0.245687,0
15.9333,0.24388,0
16,0.243125,0
16.0667,0.242266,0
16.1333,0.242083,0
16.2,0.242209,0
16.2667,0.242829,0
16.3333,0.237188,0
16.4,0.238342,0
16.4667,0.240285,0
16.5333,0.240773,0
16.6,0.241853,0
16.6667,0.241581,0
16.7333,0.241923,0
16.8,0.241764,0
16.8667,0.241815,0
16.9333,0.241961,0
17,0.241318,0
17.0667,0.240919,0
17.1333,0.240257,0
17.2,0.240445,0
17.2667,0.24083,0
17.3333,0.240407,0
17.4,0.240135,0
17.4667,0.240093,0
17.5333,0.240389,0
17.6,0.240867,0
17.6667,0.240543,0
17.7333,0.238535,0
17.8,0.238924,0
17.8667,0.240088,0
17.9333,0.240351,0
18,0.240464,0
18.0667,0.238521,0
18.1333,0.239136,0
18.2,0.238394,0
18.2667,0.238882,0
18.3333,0.23906,0
18.4,0.240511,0
18.4667,0.240619,0
18.5333,0.239694,0
18.6,0.239436,0
18.6667,0.23799,0
18.7333,0.238042,0
18.8,0.238816,0
18.8667,0.238572,0
18.9333,0.238816,0
19,0.239342,0
19.0667,0.239525,0
19.1333,0.23952,0
19.2,0.239328,0
19.2667,0.240393,0
19.3333,0.240276,0
19.4,0.239488,0
19.4667,0.239727,0
19.5333,0.239516,0
19.6,0.239112,0
19.6667,0.238633,0
19.7333,0.238671,0
19.8,0.239042,0
19.8667,0.239558,0
19.9333,0.240084,0
20,0.240567,0
20.0667,0.241186,0
20.1333,0.241449,0
20.2,0.241144,0
20.2667,0.242078,0
20.3333,0.242158,0
20.4,0.241552,0
20.4667,0.241609,0
20.5333,0.242618,0
20.6,0.242918,0
20.6667,0.243528,0
20.7333,0.24381,0
20.8,0.244054,0
20.8667,0.247123,0
20.9333,0.247804,0
21,0.248339,0
21.0667,0.24977,0
21.1333,0.250268,0
21.2,0.250413,0
21.2667,0.249629,0
21.3333,0.240145,0
21.4,0.241186,0
21.4667,0.241975,0
21.5333,0.241858,0
21.6,0.241721,0
21.6667,0.24152,0
21.7333,0.242322,0
21.8,0.241384,0
21.8667,0.240656,0
21.9333,0.241102,0
22,0.241853,0
22.0667,0.242148,0
22.1333,0.241562,0
22.2,0.241271,0
22.2667,0.240412,0
22.3333,0.241487,0
22.4,0.241243,0
22.4667,0.24136,0
22.5333,0.242139,0
22.6,0.243176,0
22.6667,0.246419,0
22.7333,0.250314,0
22.8,0.251769,0
22.8667,0.255064,0
22.9333,0.257298,0
23,0.254552,0.0108598
23.0667,0.256495,0.0105078
23.1333,0.256261,0.011132
23.2,0.257279,0.0128919
23.2667,0.256289,0.0120143
23.3333,0.256124,0.0124366
23.4,0.255378,0.0145767
23.4667,0.25321,0.0127229
23.5333,0.253032,0.0132157
23.6,0.253506,0.0152619
23.6667,0.254717,0.0137976
23.7333,0.256369,0.014159
23.8,0.256514,0.015642
23.8667,0.256702,0.0149991
23.9333,0.256575,0.0153135
24,0.257176,0.0164492
24.0667,0.257762,0.0155669
24.1333,0.2581,0.0163882
24.2,0.257828,0.017599
24.2667,0.257725,0.0164539
24.3333,0.258302,0.0165712
24.4,0.258161,0.0177821
24.4667,0.258297,0.0171626
24.5333,0.258682,0.0172799
24.6,0.258875,0.0183687
24.6667,0.257678,0.0176413
24.7333,0.258865,0.0177351
24.8,0.259119,0.0186831
24.8667,0.259546,0.0180496
24.9333,0.259325,0.0182279
25,0.259316,0.0189741
25.0667,0.259367,0.0182091
25.1333,0.258884,0.100812
25.2,0.258635,0.101056
25.2667,0.25788,0.0999484
25.3333,0.257185,0.0990379
25.4,0.256871,0
25.4667,0.256087,0
25.5333,0.255608,0.0974564
25.6,0.256209,0
25.6667,0.256045,0
25.7333,0.255589,0.0962972
25.8,0.256636,0
25.8667,0.258025,0
25.9333,0.259649,0.0947203
26,0.259358,0
26.0667,0.258814,0
26.1333,0.25986,0.0928853
26.2,0.259555,0
26.2667,0.260799,0
26.3333,0.258922,0
26.4,0.259095,0
26.4667,0.261005,0
26.5333,0.261503,0
26.6,0.262263,0
26.6667,0.262488,0
26.7333,0.263596,0
26.8,0.263159,0.006575
26.8667,0.26429,0.0050122
26.9333,0.264544,0.00510137
27,0.266717,0.00619486
27.0667,0.268261,0.00993054
27.1333,0.271119,0.0105266
27.2,0.271818,0.0139713
27.2667,0.274859,0.0120143
27.3333,0.278937,0.0072508
27.4,0.280571,0.00843345
27.4667,0.284541,0.0142669
27.5333,0.291449,0.012906
27.6,0.293265,0.017646
27.6667,0.298057,0.0167918
27.7333,0.304341,0.0179275
27.8,0.305885,0.0278675
27.8667,0.313005,0.0256899
27.9333,0.314577,0.0272621
28,0.306908,0.0272855
28.0667,0.314656,0.0253708
28.1333,0.317913,0.0254411
28.2,0.320757,0.0276563
28.2667,0.325099,0.0249343
28.3333,0.327393,0.0257791
